Description,Location,Links,State,Area,Price,Bedrooms,Bathrooms,Toilets,Agent_number,Added_on,Updated_on
Executive Mini Flat,Seaside Estate Badore Ajah Lagos,https://www.propertypro.ng/property/flat-apartment-for-rent-seaside-estate-badore-ajah-lagos-0FZMR,Lagos,Ajah,"900,000", beds, baths, Toilets,08028761350,01 Feb 2022,24 Feb 2022
Office Space, Adeola Odeku Victoria Island Lagos,https://www.propertypro.ng/property/commercial-property-for-rent-adeola-odeku-victoria-island-lagos-4FCHD,Lagos,Island,"16,000,000/year",0 beds,0 baths,0 Toilets,08057121358,30 Jul 2021,19 Feb 2022
2 Bedroom Flat,"Akuru, Elebu Oluyole Extension Akala Express Ibadan Oyo",https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-akuru-elebu-oluyole-extension-akala-express-ibadan-oyo-8FYLY,Oyo,Ibadan,"600,000/year",2 beds,0 baths,0 Toilets,07037117785,24 Jan 2022,19 Feb 2022
2bedroom Flat,Alpha Beach Road Igbo Efon Lekki Lagos,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-alpha-beach-road-igbo-efon-lekki-lagos-1FXGH,Lagos,Lekki,"1,300,000/year",2 beds,2 baths,3 Toilets,08168285322,14 Jan 2022,19 Feb 2022
Very 4 Bedroom Duplex,Alalubosa Ibadan Oyo,https://www.propertypro.ng/property/4-bedroom-house-for-rent-alalubosa-ibadan-oyo-0FYGR,Oyo,Ibadan,"1,500,000/year",4 beds,4 baths,4 Toilets,08147747114,23 Jan 2022,19 Feb 2022
Exquisitely Built 2 Bedroom Flat,Ago Palace Okota Lagos,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-ago-palace-okota-lagos-0FXAP,Lagos,Okota,"1,100,000/year",2 beds,2 baths,3 Toilets,09012934533,12 Jan 2022,19 Feb 2022
A Room And Parlour Self Contain,Ibadan Oyo,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-ibadan-oyo-5GBEC,Oyo,Ibadan,"250,000/year",1 beds,1 baths,1 Toilets,07065372133,13 Feb 2022,19 Feb 2022
Newly Built Room And Parlour Self Con,Unity Street Igbogbo Ikorodu Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-unity-street-igbogbo-ikorodu-lagos-3GBGS,Lagos,Ikorodu,"150,000/year",1 beds,1 baths,2 Toilets,08177520676,14 Feb 2022,19 Feb 2022
2 Bedrooms Flat,Oloje New Felele Soka Ibadan Oyo,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-oloje-new-felele-soka-ibadan-oyo-8FYSL,Oyo,Ibadan,"300,000/year",2 beds,0 baths,0 Toilets,07037117785,26 Jan 2022,19 Feb 2022
Serviced 3 Bedroom Apartment With Bq,Lekki Phase 1 Lekki Lagos,https://www.propertypro.ng/property/3-bedroom-house-for-rent-lekki-phase-1-lekki-lagos-7FZPZ,Lagos,Lekki,"4,500,000/year",3 beds,3 baths,4 Toilets,08037939912,01 Feb 2022,19 Feb 2022
Smart And Luxurious 3 Bedrooms Flat+ Bq (penthouse),Lekki Phase 1 Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-flat-apartment-for-sale-lekki-phase-1-lekki-lagos-0GAPZ,Lagos,Lekki,"80,000,000",4 beds,4 baths,5 Toilets,08103254940,09 Feb 2022,19 Feb 2022
